"nsamp","SRS_means","SRS_SE","Grid_means","Grid_SE","CLHS_means","CLHS_SE","kmn_means","kmn_SE","k_area_means","k_area_SE","k_bias_means","k_bias_SE","k_even_means","k_even_SE","k_neyman_means","k_neyman_SE","p_even","p_even_SE","p_bias_means","p_bias_SE","p_even_means","p_even_SE","p_neyman_means","p_neyman_SE"
5,1.9187385,0.206834449516679,1.95706992857143,0.241388789747814,1.999541,0.24899337200564,2.005988,0.248064615856722,2.04009666666667,0.259172897939293,1.96296966666667,0.209540343816387,1.969355,0.226894899456749,2.01091866666667,0.258553795420537,1.95619666666667,0.216655271856905,2.00026,0.240545950395417,1.938044,0.202512166038996,2.004812,0.241374456638596
6,1.96490166666667,0.217266509485705,1.93895276190476,0.188601146325235,1.956164,0.207964761262462,1.96174457142857,0.214347283505452,2.01100857142857,0.235631108967589,2.008684,0.219734777926037,1.9886335,0.207460177364946,1.98340339285714,0.199885479337313,1.97769547619048,0.274069816540613,1.95434866666667,0.196655763430766,1.9799235,0.20532488203584,1.96401619047619,0.206601695708996
7,1.97014571428571,0.207182068747568,1.92829354365079,0.180761872815597,1.98181242857143,0.186382873362224,2.01375952380952,0.213679394125017,1.97712416666667,0.213536750154595,1.99134053571429,0.189218109312749,1.9930865,0.179825599422776,1.98507160714286,0.226055640797515,1.95886111111111,0.206896866105361,1.98069232142857,0.196360952427912,1.971455,0.204480727857633,1.98942017857143,0.206785747908736
8,1.94265208333333,0.20618812808979,1.97231780988456,0.212926628919974,1.98100767857143,0.206315589397781,1.94627222222222,0.1607542364948,1.98458755555556,0.203506767595431,1.99669611111111,0.192390490699038,1.97790333333333,0.186426472196728,1.97113986111111,0.206639223576392,2.01107144444444,0.202534209095327,1.95673013888889,0.172703486231136,1.98595975,0.179674114466332,1.96174734126984,0.193024797098056
9,2.00848569444444,0.1834057297955,1.94763080519481,0.16584788268138,1.98276416666667,0.199339990573216,1.99551125,0.172107940024813,1.97208266666667,0.172232547323859,1.97995861111111,0.175885029827586,2.00728419444444,0.199960104090651,1.95376058333333,0.183659235645907,1.95996877777778,0.200982223724768,1.98592066666667,0.197436646928433,1.94703077777778,0.179740949323161,1.95008377777778,0.178865726017527
10,1.99922122222222,0.204021557241007,1.97727227453102,0.185844135194891,1.96325733333333,0.168300244935119,1.98300944444444,0.1859949921475,1.95914253535354,0.178356945773768,1.98265080555556,0.191744959909228,1.97905266666667,0.168740673590652,1.97612025252525,0.162731277560985,1.96389415151515,0.175151726760788,2.00861219444444,0.189733608008184,1.96926933333333,0.15721597561519,1.96481377777778,0.169741892037784
11,1.96165319191919,0.159818384038508,1.9550093457376,0.164530798531872,1.96246081818182,0.160146205892701,1.9861621969697,0.188526738460815,1.98424115384615,0.174610780853144,1.97434036363636,0.154820504009435,2.00503,0.168872441354346,1.95888265151515,0.157620962038554,1.98148243589744,0.176910667010399,1.95514845454545,0.161142473836414,1.98933155555556,0.17143973517107,1.94372709090909,0.15480455358556
12,2.00365787878788,0.186502949959921,1.97259969264069,0.168674426876619,1.99415134848485,0.168332839926515,1.99592053030303,0.186872341644158,1.96413097902098,0.15746536644487,1.99185401515152,0.157180307855576,1.98087477777778,0.156286199989875,2.00668639393939,0.190130130980808,1.97706968531469,0.1532259113219,1.97516443939394,0.161488227122708,1.97822883333333,0.146685394450253,1.94371895454545,0.154584199076058
13,1.95818833333333,0.143144982639394,1.98941164914252,0.17816176845583,1.9976558974359,0.193699398373108,1.94050927156177,0.155879522112002,2.00567395604396,0.171901376850455,2.01638782051282,0.17393977283715,1.97396977655678,0.159923869328666,1.97131016483516,0.168513281827551,2.0058728021978,0.188379587310196,1.97571794871795,0.158195115040906,1.98313369230769,0.15962242671466,2.01404683150183,0.170766798089767
14,2.00459873626374,0.174322039400932,1.96772178084416,0.155964606345406,1.98011895604396,0.156184688284147,2.00603252747253,0.176213387400607,2.02470176190476,0.183229654244604,1.96075273310023,0.15130542877437,1.97750715750916,0.146242531405166,1.96594785714286,0.148005123830261,1.97361980586081,0.149111399964483,1.97545175824176,0.152276606311499,1.97339212454212,0.137997290230937,1.9825406996337,0.164700709620816
15,1.99795057142857,0.169178174612364,1.98567642216117,0.149629627181899,1.96804418681319,0.14890487452391,1.97548583333333,0.164232222429152,1.98806003571429,0.158081921016594,1.97442855311355,0.145368042371188,1.97047549184149,0.1281196510895,1.979459875,0.153287563179793,1.96388707142857,0.15208081741935,1.97215145770896,0.146884614551536,1.98108077289377,0.134225072817501,1.96599360989011,0.135109307342652
16,1.97733630952381,0.159538955382753,1.97474095590929,0.148425984539759,1.98245688690476,0.145068388090158,1.96961601923077,0.15642373226303,1.95226413235294,0.136122906724662,1.99320753571429,0.146969016546766,1.99740001831502,0.154889502526823,1.97452826715686,0.14202821631629,1.95969403886555,0.138542144485907,1.971574375,0.156873714763265,2.01346107692308,0.15454336803562,1.96598564460784,0.140484164463147
